Concept	correlation
screw	-0.225817682373
cake	-0.21888062483
turtle	-0.159244658551
spade	-0.15244095446
bouquet	-0.142485600171
emu	-0.114063232308
dice	-0.112659657048
cup	-0.110525816234
lipstick	-0.10771035463
toaster	-0.106096599874
kite	-0.0996144261148
slug	-0.0936790145969
armour	-0.0891231292923
ruler	-0.0852650319814
donkey	-0.0782699105198
rake	-0.0779326560988
bell	-0.063367565956
jar	-0.0585461072829
brush	-0.0570476677434
bowl	-0.0562492658592
lettuce	-0.0462773615002
scallop	-0.0448179342847
thimble	-0.0434669759927
needle	-0.0374902338044
leopard	-0.0330874505954
cod	-0.0273221970734
arrow	-0.0261891492865
spoon	-0.0127809867567
sandpaper	-0.0100776354988
swing	-0.00549743415718
tyre	-0.00227484130608
rock	-0.00148734958335
hair	-0.00103730637268
motorcycle	0.0
moped	0.0
belt	0.000281914770503
brick	0.000327517444234
saw	0.00281838881532
plough	0.00697887183842
alligator	0.00745695864748
doughnut	0.00848342610892
rollerskate	0.0157378725627
bolts	0.0174685576575
mug	0.0191819011011
puppet	0.0209553924935
raccoon	0.0228963234408
candle	0.0238220939437
caravan	0.026344267903
badge	0.026424744171
shoes	0.0322238457127
chain	0.0333556388328
microwave	0.0345761421918
peeler	0.0348345253075
comb	0.0386874646873
plate	0.0397300287896
bikini	0.0397874777848
bracelet	0.0403037039748
perfume	0.0417418173102
pyramid	0.0518360851255
shrimp	0.0520410555738
stone	0.0539620834526
coin	0.0579659420186
glue	0.0582699513689
whip	0.0637759437169
table	0.0650383084854
whistle	0.0669076236993
fridge	0.067322735869
van	0.0675826531502
flannel	0.0683462782159
oven	0.0695246844055
rattle	0.0703437939865
heart	0.0706302090147
bath	0.0715988286633
key	0.072884519033
watch	0.0731137039452
newspaper	0.0771725632787
necklace	0.0793809694317
castle	0.0806877857202
colander	0.0807409600547
dictionary	0.0829872462349
beaver	0.0837579423089
cushion	0.0843973519258
seashell	0.0850398961279
seaweed	0.0883250948286
mushroom	0.0934590480159
marble	0.0946078123661
dates	0.0969323152056
basin	0.101408293044
pillow	0.101679053813
ladle	0.103710035177
cape	0.104040700081
doll	0.105020259724
football	0.10563597838
bottle	0.105950019713
menu	0.109133784567
hippo	0.110779425532
barrel	0.115438529714
otter	0.117182303003
yoyo	0.119321050537
oyster	0.119322742964
tongs	0.119615047518
salmon	0.11967673766
fork	0.121942893137
club	0.124128622867
hoe	0.124263202399
stick	0.125083207983
certificate	0.127559297957
basket	0.12773462112
catalogue	0.129545433427
clam	0.130271507578
chandelier	0.131271685844
napkin	0.132277599289
cage	0.134084019215
frisbee	0.134681469136
gloves	0.137791505864
